sitex,EntrType,NumUnits,AvgUnitsqft,NumResFloors,GrossResSqFt,CondResSqFt,WWR,FndType,Fnd_wtmn_u,Fnd_wtmn_f,FndNotes,BsmtFloorU,wtmn_CeilingU,wtmn_WindowSHGC,wtmn_WindowU,BsmtWallType,BsmtWallNotes,BsmtWallU,BsmtWallR_cont,BsmtWallR_cavt,BsmtWall_masonry,wtmn_GenlWallU,AGWallU_AGMass,AGWallU_MetalFrame,AGWallU_WoodFrame,AGWallU_Other,effunits,mneff,inunithtsys_all,inunithtsys_raw,inunit_heat,inunit_cool,inunitclsys_all,inunitclsys_raw,Ventcentral_YN,Ventinunit_YN,Vent_inuniterv_YN,Vent_inunit_erveff,HVACcentral_YN,Central_Sys,HVACcentral,common_heat,commonhtsys_all,commonhtsys_raw,commonhtothr_raw,common_cool,commonclsys_all,commonclsys_raw,commonclothr_raw,Ventcorridor_YN,Vent_corridorerv_YN,Vent_corridor_erveff,Heat_bsmt_YN,Heat_bsmt_type,Vent_bsmt_YN,Vent_bsmterv_YN,Vent_bsmt_erveff,DHWFuel_central,centraldhweff_avg,centraldhweff_unitsall,centraldhwfuel_all,centralpipeins_all,centralsys_all,centraldhwgalall,centralcircloop_all,DHWFuel_units,inunitdhweff_avg,inunitdhweff_unitsall,inunitdhwsysall,inunitdhwgalall,inunitdhwfuel_all,LPD_unit,HighEffLamps_units,totalwatts_IntPk,LPD_IntPk_common,totalwatts_ExtPk,LPD_ExtPk,totalwatts_ExtNonPk,totalwatts_IntCorridor,LPD_IntCorridor,totalwatts_IntStairwell,LPD_IntStairwell,HVACcommon_YN,HVACunits_YN,DHWcentral_YN,DHWunits_YN,State,statecodeyr,CZ,IECCyr,County,City,BLANK
516002,common entry,49,1030,3,69672,69672,0.1802,heatedbsmt,,0.55,,,0.025,,0.37,Other,Garage Concrete w/ RI BG,0.057,R10,None,Rigid (continuous),0.05815451,,,0.056,,ET,0.931818182,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Furnace; Electric resistance; Other,NA; Through Wall Furnace AC Combination; Direct-fired make-up air unit (for garage),,,,,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.97,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.2743,100,1088,0.0551,215,0.0067,72,1617,0.3569,663,0.4121,Yes,Yes,Yes,No,MN,2015,6A,2012,Dakota,Lakeville,
522001,common entry,52,1025,3,86983,86983,0.1114,heatedbsmt,,0.67,,0.04,0.0193,,0.2769,"Conc.blk,brick",Foundation Wall - below grade,0.057,R10,None,Rigid (continuous),0.04202679,,,0.039,,AFUE,0.94,gasfurnace,Other,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; other; Electric resistance,furnace with cooling coil; Split System AC; Gas Fired Unit Heater; NA,PTAC,PTAC,Other,furnace with cooling coil; Split System AC,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.98,et,Natural Gas,Yes,Individual water heating tank,130,Yes,,,,,,,0.1712,100,,,303,0.0692,363,2157,0.2888,1009,0.5027,Yes,Yes,Yes,No,MN,2015,6A,2012,Hennepin,Hopkins,
527001,common entry,25,826,3,34580,34580,0.1786,slab,,0.3,,,0.025,,0.37,,,,,,,0.056,,,0.056,,NA,#NUM!,CENTRALHVAC bldg,Baseboard,hydronic baseboard (gas boiler),Win AC,Win AC,Portable AC unit,Yes,Yes,No,0,Yes,gas boiler,hydronic baseboard (gas boiler),gasboiler,gasboiler,Furnace; Electric resistance; Other; Boiler,NA; Hydronic unit heaters for garagees; Baseboard radiation,,,,,Yes,No,0,No,,No,,,Natural Gas,0.985,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.2324,100,78,0.0189,353,0.0178,,630,0.4653,420,0.6275,Yes,Yes,Yes,No,MN,2015,7A,2012,Kanabec,Mora,
528001,common entry,48,1152,3,77580,77580,0.2636,slab,0.042,,,,0.021,,,,,,,,,0.042,,,0.042,,AFUE,95,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,elecres,elecres,Furnace; Electric resistance; Heat pump,NA; Packaged Through Wall Furnace AC; Fan Coil (Electric Heat/ DX Cool),Split system HP,Split system HP,Other; PTHP,Condensing Unit for Furnace (HVAC1); Packaged Through Wall Furnace AC; Condensing Unit for Fan Coil (HVAC4); NA,Yes,No,0,No,,No,,,Natural Gas,0.99,et,Natural Gas,Yes,Individual water heating tank,238,Yes,,,,,,,0.3118,100,,,,,92,2691,0.4058,510,0.8407,Yes,Yes,Yes,No,MN,2015,6A,2012,Anoka,Ramsey,
529001,common entry,54,967,3,62735,62735,0.2102,heatedbsmt,,0.55,,0.14,0.019,,0.27,"Conc.blk,brick","E2, underground wall (in garage)",0.1,R10,None,Rigid (continuous),0.079942958,,,0.056,,AFUE,0.936868687,gasfurnace,Other,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Electric resistance,fan coil unit with electric heating and dx cooling; Furnace with ac; Direct-fired make-up air heater; NA,Split system HP,Split system HP; other,Other; NA,fan coil unit with electric heating and dx cooling; Furnace with ac; NA; ductless split AC,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.92,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.398,100,3090,0.1537,70,0.0013,,1335,0.2523,,,Yes,Yes,Yes,No,MN,2015,6A,2012,Scott,Savage,
530001,common entry,30,903,2,34311,34311,0.1389,slab,,0.65,,,0.021,0.3,0.29,,,,,,,0.038461538,,,,0.038461538,NA,#NUM!,CENTRALHVAC bldg,Other HP,water source HP (gas boiler),water source HP,water source HP,Other HP,Yes,Yes,No,0,Yes,gas boiler,water source HP (gas boiler),gasboiler,water source HP; gasboiler,Heat pump; Boiler; Other,Water loop heat pump; Serves WLHPs throughout building.; fin tubes with hot water; hot water unit heater,water source HP,Split system HP; water source HP,Other HP; Other,Water loop heat pump; WWHP serves coils for ERU1 and ERU2; adiabatic fluid cooler for wlhp system,Yes,Yes,64,No,,No,,,Natural Gas,0.985,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.2767,100,,,465,0.0243,1449,0,0,0,0,Yes,Yes,Yes,No,MN,2015,6A,2012,Nicollet,Saint Peter,
531001,common entry,48,968,3,64242,64242,0.221,slab,0.5,0.52,,,0.021,,0.332,,,,,,,0.038461538,,,,0.038461538,COP,4.55,CENTRALHVAC bldg,Other HP,water source HP (gas boiler),water source HP,water source HP,Other HP,Yes,Yes,Yes,72,Yes,gas boiler,water source HP (gas boiler),gasboiler,water source HP; gasboiler,Heat pump; Boiler; Electric resistance,NA; Qtyx2,water source HP,Split system HP; water source HP,Heat pump; Other,NA; Fluid cooler for WLHPs throughout building.,Yes,No,0,No,,No,,,Natural Gas,0.97,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.3502,100,,,,,1220,1776,0.3173,240,0.2697,Yes,Yes,Yes,No,MN,2015,6A,2012,Nobles,Worthington,
534001,common entry,47,849,3,53088,53088,0.1744,slab,,0.5,,,0.019,,0.3723,,,,,,,0.056,,,0.056,,AFUE,0.946666667,gasfurnace,Other,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Electric resistance; Furnace,NA; RTU-1 & 2,PTAC,PTAC; Split system HP,Other; Rooftop unit (RTU),Ductless mini-split AC only; NA; Fan Coil/condensing unit,Yes,No,0,No,,No,,,Natural Gas,0.96,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.3007,100,,,120,0.0023,108,3393,0.5916,520,0.4333,Yes,Yes,Yes,No,MN,2015,6A,2012,Anoka,Ramsey,
535001,common entry,39,385,2,28554,28554,0.102,heatedbsmt,,0.06,,,0.0263,,0.3695,"Conc.blk,filled",Existing Building (South); below grade,0.051,None,R13,Metal furring,0.062007655,,,0.048,,COP,4.7,CENTRALHVAC bldg,Other HP,water source HP (gas boiler),water source HP,water source HP,Other HP,Yes,Yes,No,0,Yes,gas boiler,water source HP (gas boiler),gasboiler,gasfurnace; Split system HP; gasboiler; elecres,Furnace; Heat pump; Boiler; Electric resistance,NA; Qty x 2,Split system HP,Split system HP; PTAC; water source HP,"Other; Heat pump; PTAC, no heat pump",Split system AC--each connected to a coil in a furnace unit.; NA; Evaporative fluid cooler for WLHP loop,Yes,No,0,Yes,water source HP,Yes,No,0,Natural Gas,,ef,Natural Gas,Yes,Individual water heating tank,100,Yes,,0.6,NA,NA,NA,NA,0.5558,100,,,866,0.2353,,1206.4,0.3637,432.2,0.5717,Yes,Yes,Yes,No,MN,2015,6A,2012,Hennepin,Minneapolis,
536001,common entry,68,1101,3,116510,116510,0.1995,heatedbsmt,,0.65,,,0.02,,0.32,Concblkw/inserts,Below Grade,0.075,R10,None,Rigid (continuous),0.050036231,,,0.042,,AFUE,0.943333333,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; other,Furnace; Electric resistance; Other,Through Wall Furnace AC; Furnace with condending unit; NA; Gas fired Power Vent,Split system HP,Split system HP,Other; Split System HP,Through Wall Furnace AC; Furnace with condending unit; NA,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.92,et,Natural Gas,Yes,Individual water heating tank,100,NA,,,,,,,0.2555,100,4218,0.1555,399,0.0209,,1948.5,0.2893,63,0.041,Yes,Yes,Yes,No,MN,2015,6A,2012,Scott,Prior Lake,
